layer, level, fraction, repeat, accuracy
conv5-3, synapse, 0.8, 0, 0.819379985332489
conv5-3, synapse, 0.9, 0, 0.6095600128173828
conv5-3, synapse, 1.0, 0, 0.004999999888241291
conv5-3, node, 0.0, 0, 0.9038199782371521
conv5-3, node, 0.1, 0, 0.894599974155426
conv5-3, node, 0.2, 0, 0.884179949760437
conv5-3, node, 0.3, 0, 0.8700399994850159
conv5-3, node, 0.4, 0, 0.8407999873161316
conv5-3, node, 0.5, 0, 0.7991200089454651
conv5-3, node, 0.6, 0, 0.7335799932479858
conv5-3, node, 0.7, 0, 0.6508399844169617
conv5-3, node, 0.8, 0, 0.5114799737930298
conv5-3, node, 0.9, 0, 0.29697999358177185
conv5-3, node, 1.0, 0, 0.004999999888241291
dense1, synapse, 0.0, 0, 0.9038199782371521
dense1, synapse, 0.1, 0, 0.9041199684143066
dense1, synapse, 0.2, 0, 0.9035799503326416
dense1, synapse, 0.3, 0, 0.9031599760055542
dense1, synapse, 0.4, 0, 0.9027999639511108
dense1, synapse, 0.5, 0, 0.9021799564361572
dense1, synapse, 0.6, 0, 0.9018399715423584
dense1, synapse, 0.7, 0, 0.9007799625396729
dense1, synapse, 0.8, 0, 0.8978599905967712
dense1, synapse, 0.9, 0, 0.890019953250885
dense1, synapse, 1.0, 0, 0.004999999888241291
dense1, node, 0.0, 0, 0.9038199782371521
dense1, node, 0.1, 0, 0.9027999639511108
dense1, node, 0.2, 0, 0.9027599692344666
dense1, node, 0.3, 0, 0.9018399715423584
dense1, node, 0.4, 0, 0.8994999527931213
dense1, node, 0.5, 0, 0.8970199823379517
dense1, node, 0.6, 0, 0.8937599658966064
dense1, node, 0.7, 0, 0.8863599896430969
dense1, node, 0.8, 0, 0.870959997177124
dense1, node, 0.9, 0, 0.8038199543952942
dense1, node, 1.0, 0, 0.004999999888241291
dense2, synapse, 0.0, 0, 0.9038199782371521
dense2, synapse, 0.1, 0, 0.9033599495887756
dense2, synapse, 0.2, 0, 0.9033199548721313
dense2, synapse, 0.3, 0, 0.9032399654388428
dense2, synapse, 0.4, 0, 0.9032799601554871
dense2, synapse, 0.5, 0, 0.902679979801178
dense2, synapse, 0.6, 0, 0.9012799859046936
dense2, synapse, 0.7, 0, 0.8995800018310547
dense2, synapse, 0.8, 0, 0.8945599794387817
dense2, synapse, 0.9, 0, 0.8797000050544739
dense2, synapse, 1.0, 0, 0.004999999888241291
dense2, node, 0.0, 0, 0.9038199782371521
dense2, node, 0.1, 0, 0.9030999541282654
dense2, node, 0.2, 0, 0.9021199941635132
dense2, node, 0.3, 0, 0.901199996471405
dense2, node, 0.4, 0, 0.8989999890327454
dense2, node, 0.5, 0, 0.8962799906730652
dense2, node, 0.6, 0, 0.8929399847984314
dense2, node, 0.7, 0, 0.8863199949264526
dense2, node, 0.8, 0, 0.8724199533462524
dense2, node, 0.9, 0, 0.8330199718475342
dense2, node, 1.0, 0, 0.004999999888241291
dense3, synapse, 0.0, 0, 0.9038199782371521
dense3, synapse, 0.1, 0, 0.9023199677467346
dense3, synapse, 0.2, 0, 0.9010399580001831
dense3, synapse, 0.3, 0, 0.8974599838256836
dense3, synapse, 0.4, 0, 0.8930599689483643
dense3, synapse, 0.5, 0, 0.8900599479675293
dense3, synapse, 0.6, 0, 0.8791199922561646
dense3, synapse, 0.7, 0, 0.8671599626541138
dense3, synapse, 0.8, 0, 0.8353599905967712
dense3, synapse, 0.9, 0, 0.7446999549865723
dense3, synapse, 1.0, 0, 0.004999999888241291
dense3, node, 0.0, 0, 0.9038199782371521
dense3, node, 0.1, 0, 0.8179000020027161
dense3, node, 0.2, 0, 0.7338399887084961
dense3, node, 0.3, 0, 0.6491999626159668
dense3, node, 0.4, 0, 0.5543199777603149
dense3, node, 0.5, 0, 0.46884000301361084
dense3, node, 0.6, 0, 0.37880000472068787
dense3, node, 0.7, 0, 0.287880003452301
dense3, node, 0.8, 0, 0.19383999705314636
dense3, node, 0.9, 0, 0.09799999743700027
dense3, node, 1.0, 0, 0.004999999888241291
